part_number,manufacturer,category,description,availability,price,datasheet_url,product_url
MAL211655221E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード 16V 220uF 20%,3684 在庫,¥273.8,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL211655221E3?qs=pM1VCyfkp0ClvzPXUEA8VQ%3D%3D
MAL202136151E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 150uF 25V 20% Axial,1968 在庫,¥430.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202136151E3?qs=34tG%252BOjeWOt0UNnb7yFEEQ%3D%3D
MAL202135331E3,Vishay / BC Components,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 330uF 16V 20% Axial,1529 在庫,¥430.3,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL202135331E3?qs=jxJUw0%2FAXLI0raBn0Le0Ww%3D%3D
B43501A9477M007,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 400VDC 470uF 20% Short 4mm Term,170 在庫,"¥3,044.8",,https://www.mouser.jp/ProductDetail/TDK/B43501A9477M007?qs=qPUKiRLrJPF%252BpnQ5S8IzIA%3D%3D
RPA0609101M025B,KYOCERA AVX,アルミ有機ポリマコンデンサ,アルミ有機ポリマコンデンサ 25V 100uF 0609 ESR=3 0mOhms,7715 在庫,¥140.2,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/RPA0609101M025B?qs=Y0Uzf4wQF3lzEzQngFxXQA%3D%3D
REA1020222M006K,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード ALUMINUM RADIAL,1200 在庫,¥102.7,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REA1020222M006K?qs=Y0Uzf4wQF3n0nklTfI%252BWWQ%3D%3D
B41252A4479M000,TDK,アルミニウム電解キャパシタ - スナップイン,アルミニウム電解キャパシタ - スナップイン 16VDC 47000uF 20% PVC 6mm Terminals,346 在庫,"¥1,294.2",,https://www.mouser.jp/ProductDetail/TDK/B41252A4479M000?qs=qPUKiRLrJPHR%2FLj0fUgFIw%3D%3D
REA1020100M350K,KYOCERA AVX,アルミ電解コンデンサ - ラジアルリード,アルミ電解コンデンサ - ラジアルリード ALUMINUM RADIAL,1200 在庫,¥141.8,,https://www.mouser.jp/ProductDetail/KYOCERA-AVX/REA1020100M350K?qs=Y0Uzf4wQF3mbh596zdVoRQ%3D%3D
865080545011,Wurth Elektronik,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD WCAP-ASLI 68uF 35V 20% SMD/SMT,23836 在庫,¥55.4,,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/865080545011?qs=0KOYDY2FL2%252BUWN8HP4Q2UA%3D%3D
ALS70A332NP630,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 630V 3300uF 85C 77x115mm,55 在庫,"¥18,963.4",https://www.mouser.com/datasheet/3/72/1/KEM_A4075_ALS70_71.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS70A332NP630?qs=W%2FMpXkg%252BdQ65vTduT%2FH8mA%3D%3D
MAL224699712E3,Vishay / BC Components,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 470uF 80V 18x18x21 High Vibration,372 在庫,"¥1,410",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL224699712E3?qs=b%252B2mHxW%2Fy4UoDwtyBiUWiA%3D%3D
TE1306-E3,Vishay / Sprague,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 50V 35uF,689 在庫,"¥1,057.9",,https://www.mouser.jp/ProductDetail/Vishay-Sprague/TE1306-E3?qs=j607B05hb72X1iaCV7AsgQ%3D%3D
TE1305-E3,Vishay / Sprague,アルミ電解コンデンサ-アキシャルリード,アルミ電解コンデンサ-アキシャルリード 50V 20uF,921 在庫,"¥1,033.4",,https://www.mouser.jp/ProductDetail/Vishay-Sprague/TE1305-E3?qs=F0bBuU9YDExuEh1QL4AhrA%3D%3D
MAL210437152E3,Vishay / BC Components,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 1500uF 450V 20%105C 5000H 65x105,113 在庫,"¥11,889.2",,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL210437152E3?qs=Ep9Lwju7gVrOqtK2nybaIw%3D%3D
EXV337M025A9PAA,KEMET,アルミニウム電解キャパシタ - SMD,アルミニウム電解キャパシタ - SMD 25V 330uF 20%,5735 在庫,¥89.7,https://www.mouser.com/datasheet/3/72/1/EXV337M025A9PAA.pdf,https://www.mouser.jp/ProductDetail/KEMET/EXV337M025A9PAA?qs=Z46kSA%2FmtFj9JyKmCyOjqg%3D%3D
ALS36H333L4C075,KEMET,アルミニウム電解キャパシタ - ネジ端子,アルミニウム電解キャパシタ - ネジ端子 75V 0.033F -10/+30% 85C 19000Hrs,97 在庫,"¥10,727",https://www.mouser.com/datasheet/3/72/1/ALS36H333L4C075.pdf,https://www.mouser.jp/ProductDetail/KEMET/ALS36H333L4C075?qs=gt1LBUVyoHmudzM%252B21XNQQ%3D%3D
MAL214271479E3,Vishay / BC Components,アルミ電解コンデンサ - ラジアルリード,"アルミ電解コンデンサ - ラジアルリード 47 F 50V 6,3x11mm 105 C 2500h",2613 在庫,¥76.6,,https://www.mouser.jp/ProductDetail/Vishay-BC-Components/MAL214271479E3?qs=Ep9Lwju7gVrdYyULewu6GA%3D%3D
